garment_name,price,url
Girls 5 Pack Safari Print Bodysuits (Tiny Baby-23mths),£6.50,https://www.matalan.co.uk/product/detail/s2807690_c323/girls-5-pack-safari-print-bodysuits-tiny-baby-23mths-multi
Girls 2 Pack Strawberry Stripe Baby Grows (Tiny Baby-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2807699_c323/girls-2-pack-strawberry-stripe-baby-grows-tiny-baby-23mths-multi
Boys Knitted Polo Set (Newborn-9mths),£12.50,https://www.matalan.co.uk/product/detail/s2817358_c228/boys-knitted-polo-set-newborn-9mths-grey
Girls 3 Pack Frill Socks (Newborn-12mths),£3.00,https://www.matalan.co.uk/product/detail/s2822067_c359/girls-3-pack-frill-socks-newborn-12mths-white
Girls 3 Pack Frill Baby Knickers (Tiny Baby-23mths),£4.00,https://www.matalan.co.uk/product/detail/s2811403_c323/girls-3-pack-frill-baby-knickers-tiny-baby-23mths-pink
Unisex Roar T-Shirt (Newborn-23mths),£2.00,https://www.matalan.co.uk/product/detail/s2820139_c228/boys-roar-t-shirt-newborn-23mths-grey
Unisex 3 Pack Cable Socks (Newborn-12mths),£3.00,https://www.matalan.co.uk/product/detail/s2822061_c128/unisex-3-pack-cable-socks-newborn-12ths-blue
2 Pack Rainbow Bibs (One Size),£3.00,https://www.matalan.co.uk/product/detail/s2810803_c323/2-pack-rainbow-bibs-one-size-pink
Baby Beanie Hat (Newborn-24mths),£3.00,https://www.matalan.co.uk/product/detail/s2802042_c323/baby-beanie-hat-newborn-24mths-pink
Boys Mummys Boy Baby Grow (Tiny Baby-12mths),£5.00,https://www.matalan.co.uk/product/detail/s2827261_c128/boys-mummys-boy-baby-grow-tiny-baby-12mths-blue
3 Pack Strawberry Bibs,£4.00,https://www.matalan.co.uk/product/detail/s2810804_c323/3-pack-strawberry-bibs-pink
Stripe Knitted Baby Blanket (90cm x 70cm),£10.00,https://www.matalan.co.uk/product/detail/s2788565_c000/stripe-knitted-baby-blanket-blue
